rebalance_date,ticker,profitability_proxy,cashflow_proxy,leverage_proxy,stability_proxy,quality_score,factor_value,report_period,ann_date,known_at,available_at,factor_id,factor_name
20260331,600111,0.3587,-0.0752,36.8313,3.6531,-0.57545,-0.57545,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600113,0.0822,0.1976,22.9948,0.8492,-0.18203,-0.18203,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600114,0.3542,0.4267,46.4754,3.6135,-0.86393,-0.86393,20260331,20260421,20260421,20260421,F06,FUNDAMENTAL_QUALITY
20260331,600115,1.0948,0.1565,86.276,4.2361,-2.39436,-2.39436,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600116,0.0337,-0.0806,53.3254,0.2857,-1.49324,-1.49324,20260331,20260423,20260423,20260423,F06,FUNDAMENTAL_QUALITY
20260331,600117,-0.7559,0.001,59.3061,7.0848,-1.34186,-1.34186,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600118,-0.0748,-0.1258,39.5228,0.6728,-0.93524,-0.93524,20260331,20260422,20260422,20260422,F06,FUNDAMENTAL_QUALITY
20260331,600119,-0.3428,-0.1167,63.5776,3.3558,-1.74352,-1.74352,20260331,20260427,20260427,20260427,F06,FUNDAMENTAL_QUALITY
20260331,600120,0.1041,0.0187,68.195,0.8757,-2.02178,-2.02178,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600121,-2.6529,0.096,84.0102,23.3647,-1.41541,-1.41541,20260331,20260425,20260425,20260425,F06,FUNDAMENTAL_QUALITY
20260331,600123,-0.0181,0.121,60.5444,0.1816,-1.7538,-1.7538,20260331,20260424,20260424,20260424,F06,FUNDAMENTAL_QUALITY
20260331,600125,0.2764,0.2508,24.6745,2.8002,-0.0891,-0.0891,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600126,0.0052,-0.4608,33.6599,0.0494,-0.80128,-0.80128,20260331,20260425,20260425,20260425,F06,FUNDAMENTAL_QUALITY
20260331,600127,0.0029,-0.2803,67.5713,0.0261,-2.12338,-2.12338,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600128,0.062,-1.4444,55.9185,0.6101,-1.84522,-1.84522,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600129,0.1854,-0.7282,74.9937,1.8563,-2.36957,-2.36957,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600130,0.0247,-0.0322,16.5711,0.2733,-0.01518,-0.01518,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600131,0.0,0.2716,49.5204,0.0661,-1.28863,-1.28863,20260331,20260425,20260425,20260425,F06,FUNDAMENTAL_QUALITY
