rebalance_date,ticker,profitability_proxy,cashflow_proxy,leverage_proxy,stability_proxy,quality_score,factor_value,ann_date,known_at,available_at,factor_id
20260430,002600,1.49118,0.1084,55.738,0.0885,-5.069366,-5.069366,20260430,20260430,20260430,F06
20260430,002601,2.34925,0.1861,57.2121,0.1524,-4.918255,-4.918255,20260428,20260428,20260428,F06
20260430,002602,4.18024,0.2633,28.0363,0.508,-1.293698,-1.293698,20260430,20260430,20260430,F06
20260430,002603,3.26416,0.3655,19.6576,0.4581,-0.730172,-0.730172,20260428,20260428,20260428,F06
20260430,002605,3.763,0.3464,28.2412,0.6372,-1.37106,-1.37106,20260430,20260430,20260430,F06
20260430,002606,2.47294,0.0801,36.9625,0.2545,-2.836548,-2.836548,20260423,20260423,20260423,F06
20260430,002607,3.05935,0.0246,85.8771,0.0112,-7.660505,-7.660505,20260429,20260429,20260429,F06
20260430,002608,3.0462,0.2691,49.8441,0.3933,-3.85941,-3.85941,20260425,20260425,20260425,F06
20260430,002609,0.78531,0.0759,36.1084,0.0052,-3.357987,-3.357987,20260430,20260430,20260430,F06
20260430,002611,0.85269,-0.0383,30.3068,-0.0182,-2.789813,-2.789813,20260425,20260425,20260425,F06
20260430,002612,2.27598,0.3679,53.7862,0.21,-4.538246,-4.538246,20260429,20260429,20260429,F06
20260430,002613,0.44067,0.0946,23.819,0.0027,-2.229699,-2.229699,20260429,20260429,20260429,F06
20260430,002614,0.59101,0.0537,37.9468,-0.2061,-3.689077,-3.689077,20260429,20260429,20260429,F06
20260430,002615,1.05315,-0.1536,47.8984,0.0048,-4.502695,-4.502695,20260415,20260415,20260415,F06
20260430,002616,2.25507,-0.0475,62.9195,0.2097,-5.541049,-5.541049,20260430,20260430,20260430,F06
20260430,002617,1.23951,0.056,39.1038,0.0654,-3.501167,-3.501167,20260429,20260429,20260429,F06
20260430,002620,-0.05704,0.012,94.5863,-0.0502,-9.493422,-9.493422,20260429,20260429,20260429,F06
20260430,002622,-1.48909,0.0039,77.2036,-0.0123,-8.171227,-8.171227,20260429,20260429,20260429,F06
20260430,002623,1.9905,0.1978,50.9161,-0.3671,-4.60174,-4.60174,20260429,20260429,20260429,F06
20260430,002624,1.47434,-0.0772,30.1652,0.0894,-2.553898,-2.553898,20260428,20260428,20260428,F06
20260430,002625,1.83938,0.0229,18.5744,0.1456,-1.242806,-1.242806,20260428,20260428,20260428,F06
20260430,002626,2.21041,0.1938,40.2512,0.2066,-3.240597,-3.240597,20260430,20260430,20260430,F06
20260430,002627,1.08939,0.0107,15.1487,0.0355,-1.171713,-1.171713,20260428,20260428,20260428,F06
20260430,002628,0.99052,0.0216,55.5509,0.0358,-5.239294,-5.239294,20260430,20260430,20260430,F06
20260430,002629,-3.02945,-0.0055,76.4582,-0.0113,-8.560275,-8.560275,20260430,20260430,20260430,F06
20260430,002630,-0.01758,0.0426,99.2447,-0.0147,-9.927104,-9.927104,20260430,20260430,20260430,F06
20260430,002631,0.15632,-0.1199,32.7186,-0.0302,-3.261024,-3.261024,20260430,20260430,20260430,F06
20260430,002632,1.66197,0.0979,24.1949,0.1168,-1.854599,-1.854599,20260423,20260423,20260423,F06
20260430,002633,1.19253,-0.1484,32.3419,0.0604,-2.881951,-2.881951,20260421,20260421,20260421,F06
20260430,002634,-0.37478,0.0131,147.9304,-0.0445,-14.920654,-14.920654,20260429,20260429,20260429,F06
20260430,002635,2.08429,0.1182,29.1817,0.0949,-2.231283,-2.231283,20260428,20260428,20260428,F06
20260430,002636,3.84865,-0.0086,45.5923,0.5096,-3.202515,-3.202515,20260429,20260429,20260429,F06
20260430,002637,3.0226,-0.0781,55.5502,0.4156,-4.49762,-4.49762,20260424,20260424,20260424,F06
20260430,002638,-0.35619,-0.0285,12.6136,-0.0259,-1.384277,-1.384277,20260429,20260429,20260429,F06
20260430,002639,0.73519,-0.1874,48.3181,0.0081,-4.645493,-4.645493,20260428,20260428,20260428,F06
20260430,002640,14.43347,-0.3114,79.4204,0.1321,-3.621439,-3.621439,20260430,20260430,20260430,F06
20260430,002641,0.58334,0.5818,38.8212,-0.0545,-3.612558,-3.612558,20260429,20260429,20260429,F06
20260430,002642,0.39388,-0.4264,54.3252,0.002,-5.398836,-5.398836,20260429,20260429,20260429,F06
20260430,002643,2.19435,0.1449,27.4126,0.1886,-1.978535,-1.978535,20260425,20260425,20260425,F06
20260430,002644,1.35219,0.1096,27.1069,0.0792,-2.251433,-2.251433,20260430,20260430,20260430,F06
