ticker,rebalance_date,horizon,forward_return,label_available_at,label_role
002602,20251009,5D,-0.082297,20251016,OUTCOME_LABEL_ONLY
002602,20251009,20D,-0.142105,20251106,OUTCOME_LABEL_ONLY
002602,20251009,60D,,,OUTCOME_LABEL_ONLY
601898,20251009,5D,0.135897,20251016,OUTCOME_LABEL_ONLY
601898,20251009,20D,0.269231,20251106,OUTCOME_LABEL_ONLY
601898,20251009,60D,,,OUTCOME_LABEL_ONLY
001289,20251009,5D,0.0,20251016,OUTCOME_LABEL_ONLY
001289,20251009,20D,-0.029736,20251106,OUTCOME_LABEL_ONLY
001289,20251009,60D,,,OUTCOME_LABEL_ONLY
688506,20251009,5D,-0.053752,20251016,OUTCOME_LABEL_ONLY
688506,20251009,20D,-0.013643,20251106,OUTCOME_LABEL_ONLY
688506,20251009,60D,,,OUTCOME_LABEL_ONLY
603986,20251009,5D,-0.076988,20251016,OUTCOME_LABEL_ONLY
603986,20251009,20D,0.007583,20251106,OUTCOME_LABEL_ONLY
603986,20251009,60D,,,OUTCOME_LABEL_ONLY
601600,20251009,5D,0.004608,20251016,OUTCOME_LABEL_ONLY
601600,20251009,20D,0.251152,20251106,OUTCOME_LABEL_ONLY
601600,20251009,60D,,,OUTCOME_LABEL_ONLY
600999,20251009,5D,0.014637,20251016,OUTCOME_LABEL_ONLY
600999,20251009,20D,0.015222,20251106,OUTCOME_LABEL_ONLY
600999,20251009,60D,,,OUTCOME_LABEL_ONLY
688111,20251009,5D,-0.041953,20251016,OUTCOME_LABEL_ONLY
688111,20251009,20D,0.072053,20251106,OUTCOME_LABEL_ONLY
688111,20251009,60D,,,OUTCOME_LABEL_ONLY
601800,20251009,5D,-0.00783,20251016,OUTCOME_LABEL_ONLY
601800,20251009,20D,-0.012304,20251106,OUTCOME_LABEL_ONLY
601800,20251009,60D,,,OUTCOME_LABEL_ONLY
601888,20251009,5D,0.004307,20251016,OUTCOME_LABEL_ONLY
601888,20251009,20D,0.081539,20251106,OUTCOME_LABEL_ONLY
601888,20251009,60D,,,OUTCOME_LABEL_ONLY
601390,20251009,5D,-0.012048,20251016,OUTCOME_LABEL_ONLY
601390,20251009,20D,-0.024096,20251106,OUTCOME_LABEL_ONLY
601390,20251009,60D,,,OUTCOME_LABEL_ONLY
601012,20251009,5D,0.072564,20251016,OUTCOME_LABEL_ONLY
601012,20251009,20D,0.153072,20251106,OUTCOME_LABEL_ONLY
601012,20251009,60D,,,OUTCOME_LABEL_ONLY
002463,20251009,5D,-0.090602,20251016,OUTCOME_LABEL_ONLY
002463,20251009,20D,-0.019473,20251106,OUTCOME_LABEL_ONLY
002463,20251009,60D,,,OUTCOME_LABEL_ONLY
601100,20251009,5D,-0.096154,20251016,OUTCOME_LABEL_ONLY
601100,20251009,20D,-0.104327,20251106,OUTCOME_LABEL_ONLY
601100,20251009,60D,,,OUTCOME_LABEL_ONLY
601111,20251009,5D,0.048995,20251016,OUTCOME_LABEL_ONLY
601111,20251009,20D,0.04397,20251106,OUTCOME_LABEL_ONLY
601111,20251009,60D,,,OUTCOME_LABEL_ONLY
002241,20251009,5D,-0.16974,20251016,OUTCOME_LABEL_ONLY
002241,20251009,20D,-0.1854,20251106,OUTCOME_LABEL_ONLY
002241,20251009,60D,,,OUTCOME_LABEL_ONLY
000617,20251009,5D,0.006393,20251016,OUTCOME_LABEL_ONLY
000617,20251009,20D,-0.096804,20251106,OUTCOME_LABEL_ONLY
000617,20251009,60D,,,OUTCOME_LABEL_ONLY
601689,20251009,5D,-0.141635,20251016,OUTCOME_LABEL_ONLY
601689,20251009,20D,-0.093836,20251106,OUTCOME_LABEL_ONLY
601689,20251009,60D,,,OUTCOME_LABEL_ONLY
002230,20251009,5D,-0.09943,20251016,OUTCOME_LABEL_ONLY
002230,20251009,20D,-0.101274,20251106,OUTCOME_LABEL_ONLY
002230,20251009,60D,,,OUTCOME_LABEL_ONLY
002736,20251009,5D,0.054978,20251016,OUTCOME_LABEL_ONLY
002736,20251009,20D,0.059435,20251106,OUTCOME_LABEL_ONLY
002736,20251009,60D,,,OUTCOME_LABEL_ONLY
002460,20251009,5D,-0.030013,20251016,OUTCOME_LABEL_ONLY
002460,20251009,20D,0.045543,20251106,OUTCOME_LABEL_ONLY
002460,20251009,60D,,,OUTCOME_LABEL_ONLY
600188,20251009,5D,0.084249,20251016,OUTCOME_LABEL_ONLY
